LDT	Model	Mã SC	Sửa Chữa	Mã LK	Linh Kiện	Loại Bảo Hành	Tiền Công Sửa
Alcatel	Alcatel One Touch California (VN)/ 6012D	046	Thay màn hình có cảm ứng	AUC430T101C1	Màn hình có cảm ứng OT-6012D	NO	
Alcatel	Alcatel One Touch California (VN)/ 6012D	036	Đổi board bằng IMEI mới	CPF0000011C0	Tem hộp 2010X	YES	
Alcatel	Alcatel One Touch California (VN)/ 6012D	047	Thay phím nghuồn	SBF17U00021B	Dây phím nguồn 6012D	NO	
Alcatel	Alcatel One Touch California (VN)/ 6012D	039	Thay phím volume	SBF17U00031A	Dây phím âm thanh 6012D	NO	
Alcatel	Alcatel One Touch California (VN)/ 6012D	036	Đổi board bằng IMEI mới	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	YES	
Alcatel	Alcatel One Touch Idol 2 Mini (VN)/ 6016X	046	Thay màn hình có cảm ứng	CPE000166AC0	Đề can dán IMEI P320X	REFURBISH	
Alcatel	Alcatel One Touch Idol 2 Mini (VN)/ 6016X	001	Thay Loa	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Idol 2 Mini (VN)/ 6016X	046	Thay màn hình có cảm ứng	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Idol X+ (VN)/ 6043D	005	Thay màn hình	AUC497T114C1	Màn hình có cảm ứng OT-6043D (đen)	NO	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	004	Thay cảm ứng	AUE27G0A10C1	Cảm ứng 4015D	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	006	Thay Camera	ASA0301101C1	Camera 4015D/1045D	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	005	Thay màn hình	AUA347T213C1	Màn hình 4016A	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	002	Thay Micro	AWC4015P22C1	Micro 4015D	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	019	Thay ổ sim	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	008	Thay Main Board	F-B27G2ALVN2	Bo mạch chính Alcatel Yaris-3.5/ 4015D	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	017	Thay pin	CAB31P0000C1	Pin sạc 1300mAh OT-4015D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	017	Thay pin	CAB32E0000C1	Pin sạc 1800mAh Alcatel 5036D/997D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	028	Thay sạc	CBA3008AA0C1	Bộ sạc kg cáp USB 550mA OT-4015D/6012D/5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CJB27E202AAA	Sách hướng dẫn sử dụng 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	BNH27E0051C4	Miếng dán bảo vệ cảm ứng 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	BNH27E0051C4	Miếng dán bảo vệ cảm ứng 5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	BPC27E2000C0	Đề can dán máy mới 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	BPC27E2000C0	Đề can dán máy mới 5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	BPC27E2000C0	Đề can dán máy mới 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CPF0000011C0	Tem hộp 2010X	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CPF0000011C0	Tem hộp 2010X	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CKA27E2000CB	Hộp giấy đựng điện thoại di động OT-5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CKA27E2000CB	Hộp giấy đựng điện thoại di động OT-5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CKA27E2000CB	Hộp giấy đựng điện thoại di động OT-5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CNC1000004C0	Túi nhựa đựng máy 6012D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CNC1000004C0	Túi nhựa đựng máy 6012D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CNC1000004C0	Túi nhựa đựng máy 6012D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	004	Thay cảm ứng	AUE27E0A1BC1	Cảm ứng (đen) OT-5036D	NO	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CPG27E001AC0	(Không order nữa có thể sử dụng CPF0000011C0) Tem hướng dẫn 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CPG27E001AC0	(Không order nữa có thể sử dụng CPF0000011C0) Tem hướng dẫn 5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CQA27E2ALBMB	Thẻ bảo hành 6016X	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CQA27E2ALBMB	Thẻ bảo hành 6016X	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	015	Thay chuông	AWA1712L13C1	Chuông 5036D	NO	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	015	Thay chuông	AWA1712L13C1	Chuông 5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	001	Thay Loa	AWB1206S05C1	Loa OT-5036D	NO	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	001	Thay Loa	AWB1206S05C1	Loa OT-5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	BCA27E0V13C0	Vỏ mặt trước 5036X (trắng)	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	BCC27E2B14C0	Khung sườn 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	BCJ27E0B10C0	Nắp pin trắng 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	AUA446T112C1	Màn hình 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	005	Thay màn hình	AUA446T112C1	Màn hình 5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	006	Thay Camera	ASA5001059C1	Camera 5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	019	Thay ổ sim	ARD0060100C1	Ổ sim 4033E	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	033	Thay ổ sim2	ARD0060100C1	Ổ sim 4033E	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	016	Thay rung	AVB1027L10C1	Rung 3000D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	008	Thay Main Board	F-B27E2ALVN2	Bo mạch chính Alcatel OT 5036D Pop C5	YES	
Alcatel	Alcatel One Touch Pop C7 (VN)/ 7041D	004	Thay cảm ứng	AUE33A0A12C1	(Không order PN này nữa, chỉ order AUE33A0A1BC1) Cảm ứng 7041D (đen)	NO	
Alcatel	Alcatel One Touch Pop C7 (VN)/ 7041D	005	Thay màn hình	AUA499T100C1	Màn hình kg cảm ứng 7041D	NO	
Alcatel	Alcatel One Touch Pop C7 (VN)/ 7041D	008	Thay Main Board	BCJ33A0A2AC0	Nắp pin (đen) 7041D	NO	
Alcatel	Alcatel One Touch Pop C7 (VN)/ 7041D	030	Thay vỏ	BCJ33A0B1AC0	Nắp pin (trắng) 7041D	NO	
Alcatel	Alcatel One Touch Pop C7 (VN)/ 7041D	042	thay mặt trước	BCA33A0A11C0	Khung màn hình (có vỏ mặt trước) (đen) 7041D	NO	
Alcatel	Alcatel One Touch Pop C7 (VN)/ 7041D	042	thay mặt trước	BCA33A0V31C0	Khung màn hình (có vỏ mặt trước) (trắng) 7041D	YES	
Alcatel	Alcatel One Touch Pop C7 (VN)/ 7041D	026	Vệ sinh tổng quát	CPG33A201AC0	Đề can dán máy mới 7041D	REFURBISH	
Alcatel	Alcatel One Touch Pop C7 (VN)/ 7041D	042	thay mặt trước	TA74-3DS04792AAAA	Tem hộp 7047 (nhiều model)	YES	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	039	Thay phím volume	SBF18J00021B	Dây phím âm thanh 7047D	YES	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	008	Thay Main Board	F-B18J0ALVN2	Bo mạch chính Alcatel Yaris 5.5/ 7047D	YES	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	042	thay mặt trước	CNC1000035C0	Túi nhựa đựng máy 6040D/7047DD	REFURBISH	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	030	Thay vỏ	CPG18J001BC0	Dán mặt sau máy 7047E	REFURBISH	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	042	thay mặt trước	CPG18J201AC0	Dán hướng dẫn sử dụng 7047D	REFURBISH	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	042	thay mặt trước	BPC18J2001C0	Đề can dán máy mới 7047D	REFURBISH	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	042	thay mặt trước	CKA18J2000CA	Hộp giấy đựng điện thoại di động OT-7047D	REFURBISH	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	030	Thay vỏ	BCJ18J2B10C2	Nắp pin trắng 7047D	REFURBISH	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	030	Thay vỏ	BCJ18J2B10C2	Nắp pin trắng 7047D	YES	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	039	Thay phím volume	BFC18J0C12C0	Phím âm thanh ngoài (đen) 7047E	NO	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	001	Thay Loa	AWB1206S04C1	Loa 6016D/ 7047D	NO	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	030	Thay vỏ	BCA18J0C21C0	Vỏ mặt trước 7047D (đen)	NO	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	042	thay mặt trước	BCA18J0C21C0	Vỏ mặt trước 7047D (đen)	NO	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	042	thay mặt trước	BCA18J0C21C0	Vỏ mặt trước 7047D (đen)	YES	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	005	Thay màn hình	AUA550T101C1	Màn hình OT-7047D	NO	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	042	thay mặt trước	AUA550T101C1	Màn hình OT-7047D	NO	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	019	Thay ổ sim	ARD0080005C1	Ổ sim 7047D	YES	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	015	Thay chuông	AWA1511S06C1	Chuông 991D, 7047D	NO	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	042	thay mặt trước	AUE18J0A12C1	Cảm ứng (đen) 7047E	NO	
Alcatel	Alcatel One Touch Pop C9 (VN)/ Yaris 5.5/ 7047D	008	Thay Main Board	AUE18J0A12C1	Cảm ứng (đen) 7047E	NO	
Alcatel	Alcatel One Touch Tablet Pop 7 (VN)/ P310X	008	Thay Main Board	F-B18P0ALVN1	Bo mạch chính Alcatel P310X	YES	
Alcatel	Alcatel One Touch Tablet Pop 8 (VN)/ P320X	042	thay mặt trước	F-GBCA1980B10C0	Vỏ mặt trước có cảm ứng P321 (trắng)	NO	
Alcatel	Alcatel One Touch Tablet Pop 8 (VN)/ P320X	005	Thay màn hình	AUA800T101C1	Màn hình P320X	NO	
HTC	HTC-PM59100	HTC-B101	Thay pin chính (phải mở máy)	35H00204-01M	Pin sạc 1700mAh/3,8V 8S	BH DV	120000
HTC	HTC-PM59100	HTC-B101	Thay pin chính (phải mở máy)	35H00204-01M	Pin sạc 1700mAh/3,8V 8S	NO	120000
HTC	HTC-PM59100	HTC-B101	Thay pin chính (phải mở máy)	35H00204-01M	Pin sạc 1700mAh/3,8V 8S	HTC BHQT	100000
HTC	HTC-PM59100	HTC-B101	Thay pin chính (phải mở máy)	35H00204-01M	Pin sạc 1700mAh/3,8V 8S	REFURBISH	0
HTC	HTC-PM59100	HTC-B101	Thay pin chính (phải mở máy)	35H00204-01M	Pin sạc 1700mAh/3,8V 8S	YES	0
HTC	HTC-PM59100	HTC-M002-BCAM	Thay nút Camera	36H00939-00M	Phím camera 8S	BH DV	
HTC	HTC-PM59100	HTC-M002-BCAM	Thay nút Camera	36H00939-00M	Phím camera 8S	NO	
HTC	HTC-PM59100	HTC-M002-BCAM	Thay nút Camera	36H00939-00M	Phím camera 8S	HTC BHQT	
HTC	HTC-PM59100	HTC-M002-BCAM	Thay nút Camera	36H00939-00M	Phím camera 8S	REFURBISH	
HTC	HTC-PM59100	HTC-M002-BCAM	Thay nút Camera	36H00939-00M	Phím camera 8S	YES	
HTC	HTC-PM59100	NULL	NULL	36H00939-00M	Phím camera 8S	HTC BHQT	
HTC	HTC-PM59100	HTC-G105	Thay rung	36H01011-00M	Bộ phận rung (mô tơ) 8S/Desire 300	BH DV	
HTC	HTC-PM59100	HTC-G105	Thay rung	36H01011-00M	Bộ phận rung (mô tơ) 8S/Desire 300	NO	
HTC	HTC-PM59100	HTC-G105	Thay rung	36H01011-00M	Bộ phận rung (mô tơ) 8S/Desire 300	HTC BHQT	
HTC	HTC-PM59100	HTC-G105	Thay rung	36H01011-00M	Bộ phận rung (mô tơ) 8S/Desire 300	REFURBISH	
HTC	HTC-PM59100	HTC-G105	Thay rung	36H01011-00M	Bộ phận rung (mô tơ) 8S/Desire 300	YES	
HTC	HTC-PM59100	HTC-M002-JEAR	Thay jack tai nghe	36H01885-02M	Giắc tai nghe 8S/ One V	BH DV	
HTC	HTC-PM59100	HTC-M002-JEAR	Thay jack tai nghe	36H01885-02M	Giắc tai nghe 8S/ One V	NO	
HTC	HTC-PM59100	HTC-M002-JEAR	Thay jack tai nghe	36H01885-02M	Giắc tai nghe 8S/ One V	HTC BHQT	
HTC	HTC-PM59100	HTC-M002-JEAR	Thay jack tai nghe	36H01885-02M	Giắc tai nghe 8S/ One V	REFURBISH	
HTC	HTC-PM59100	HTC-M002-JEAR	Thay jack tai nghe	36H01885-02M	Giắc tai nghe 8S/ One V	YES	
HTC	HTC-PM59100	HTC-G103	Thay chuông	36H01897-01M	Chuông Desire 200/500/C/S/SV/U/V/X, S510b, One X, Wildfire S	YES	
HTC	HTC-PM59100	HTC-M002-Mic	Thay micro dưới (phải dùng mỏ hàn)	36H01900-00M	Micro 8S	YES	
HTC	HTC-PM59100	HTC-G103.1	Thay loa	36H01904-00M	Loa 8X/S, Desire 200/300/500/501/C/L/SV, One SV/X+	YES	
HTC	HTC-PM59100	HTC-G106-Black	Thay tai nghe (đen)	39H00013-00M	Tai nghe HTC (đen) 8S/8X/Butterfly, Desire 300/500/700/C/L/SV/U/V/X, One S/SV/V/X/X+	YES	
HTC	HTC-PM59100	HTC-G106-White	Thay tai nghe (Trắng)	39H00013-01M	Tai nghe HTC (trắng) 8S/8X/Butterfly, Desire 300/500/700/C/L/SV/U/V/X, One S/SV/V/X/X+	YES	
HTC	HTC-PM59100	HTC-F506-BRD	Thay bo đèn flash	51H00830-00M	Bo tín hiệu đèn flash 8S	YES	
HTC	HTC-PM59100	HTC-G117-Main	Thay camera chính	54H00452-00M	Camera 8S, Desire 300/U/V	YES	
HTC	HTC-PM59100	HTC-L101.2-Black	Thay màn hình có cảm ứng và mặt trước (đen)	66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	
HTC	HTC-PM59100	HTC-L101.2-Blue	Thay màn hình có cảm ứng và mặt trước (xanh)	66H00124-01M	Miếng dán bảo vệ màn hình 8S	HTC BHQT	
HTC	HTC-PM59100	HTC-L101.2-Blue	Thay màn hình có cảm ứng và mặt trước (xanh)	66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	
HTC	HTC-PM59100	HTC-L101.2-White	Thay màn hình có cảm ứng và mặt trước (trắng)	66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	
HTC	HTC-PM59100	HTC-L101.2-Red	Thay màn hình có cảm ứng và mặt trước (đỏ)	66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	
HTC	HTC-PM59100	HTC-L101.2-Yellow	Thay màn hình có cảm ứng và mặt trước (vàng)	66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	
HTC	HTC-PM59100	HTC-M101-White	Thay bo mạch chính (trắng)	72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-M101-Yello	Thay bo mạch chính (vàng)	72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-M101-Red	Thay bo mạch chính (đỏ)	72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-M101-Black	Thay bo mạch chính (đen)	72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-M101-Blue	Thay bo mạch chính (xanh)	72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	HTC BHQT	
HTC	HTC-PM59100	HTC-M101-Blue	Thay bo mạch chính (xanh)	72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-G117-Main	Thay camera chính	72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-M101-Yello	Thay bo mạch chính (vàng)	72H06970-00M	Miếng tản nhiệt bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-M101-Blue	Thay bo mạch chính (xanh)	72H06970-00M	Miếng tản nhiệt bo mạch chính 8S	HTC BHQT	
HTC	HTC-PM59100	HTC-M101-Blue	Thay bo mạch chính (xanh)	72H06970-00M	Miếng tản nhiệt bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-M101-Black	Thay bo mạch chính (đen)	72H06970-00M	Miếng tản nhiệt bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-M101-White	Thay bo mạch chính (trắng)	72H06970-00M	Miếng tản nhiệt bo mạch chính 8S	YES	
HTC	HTC-PM59100	HTC-G110-WT	Thay cáp tín hiệu Micro-USB (trắng)	73H00418-20M	Cáp tín hiệu MicroUSB HTC (trắng)	YES	
HTC	HTC-PM59100	HTC-G110-BK	Thay cáp tín hiệu Micro-USB (đen)	73H00418-24M	Cáp tín hiệu MicroUSB HTC (đen)	YES	
HTC	HTC-PM59100	HTC-C122-PWR	Thay cáp tín hiệu nút Power	73H20504-49M	Phím nguồn 8S	BH DV	
HTC	HTC-PM59100	HTC-C122-PWR	Thay cáp tín hiệu nút Power	73H20504-49M	Phím nguồn 8S	NO	
HTC	HTC-PM59100	HTC-C122-PWR	Thay cáp tín hiệu nút Power	73H20504-49M	Phím nguồn 8S	HTC BHQT	
HTC	HTC-PM59100	HTC-C122-PWR	Thay cáp tín hiệu nút Power	73H20504-49M	Phím nguồn 8S	REFURBISH	
HTC	HTC-PM59100	HTC-C122-PWR	Thay cáp tín hiệu nút Power	73H20504-49M	Phím nguồn 8S	YES	
HTC	HTC-PM59100	HTC-C122.2-KVOL	Thay cáp tín hiệu âm thanh/ volume	73H20509-49M	Phím âm thanh 8S	BH DV	
HTC	HTC-PM59100	HTC-C122.2-KVOL	Thay cáp tín hiệu âm thanh/ volume	73H20509-49M	Phím âm thanh 8S	NO	
HTC	HTC-PM59100	HTC-C122.2-KVOL	Thay cáp tín hiệu âm thanh/ volume	73H20509-49M	Phím âm thanh 8S	HTC BHQT	
HTC	HTC-PM59100	HTC-C122.2-KVOL	Thay cáp tín hiệu âm thanh/ volume	73H20509-49M	Phím âm thanh 8S	REFURBISH	
HTC	HTC-PM59100	HTC-C122.2-KVOL	Thay cáp tín hiệu âm thanh/ volume	73H20509-49M	Phím âm thanh 8S	YES	
HTC	HTC-PM59100	HTC-G114.2-White1	Thay nắp anten (trắng)	74H02345-00M	Nắp anten 8S (trắng)	BH DV	
HTC	HTC-PM59100	HTC-G114.2-White1	Thay nắp anten (trắng)	74H02345-00M	Nắp anten 8S (trắng)	NO	
HTC	HTC-PM59100	HTC-G114.2-White1	Thay nắp anten (trắng)	74H02345-00M	Nắp anten 8S (trắng)	HTC BHQT	
HTC	HTC-PM59100	HTC-G114.2-White1	Thay nắp anten (trắng)	74H02345-00M	Nắp anten 8S (trắng)	REFURBISH	
HTC	HTC-PM59100	HTC-G114.2-White1	Thay nắp anten (trắng)	74H02345-00M	Nắp anten 8S (trắng)	YES	
HTC	HTC-PM59100	HTC-G114.2-Red1	Thay nắp anten (đỏ)	74H02345-02M	Nắp anten 8S (đỏ)	BH DV	
HTC	HTC-PM59100	HTC-G114.2-Red1	Thay nắp anten (đỏ)	74H02345-02M	Nắp anten 8S (đỏ)	NO	
HTC	HTC-PM59100	HTC-G114.2-Red1	Thay nắp anten (đỏ)	74H02345-02M	Nắp anten 8S (đỏ)	HTC BHQT	
HTC	HTC-PM59100	HTC-G114.2-Red1	Thay nắp anten (đỏ)	74H02345-02M	Nắp anten 8S (đỏ)	REFURBISH	
HTC	HTC-PM59100	HTC-G114.2-Red1	Thay nắp anten (đỏ)	74H02345-02M	Nắp anten 8S (đỏ)	YES	
HTC	HTC-PM59100	HTC-G114.2-Blue1	Thay nắp anten (xanh)	74H02345-03M	Nắp anten 8S (xanh)	BH DV	
HTC	HTC-PM59100	HTC-G114.2-Blue1	Thay nắp anten (xanh)	74H02345-03M	Nắp anten 8S (xanh)	NO	
HTC	HTC-PM59100	HTC-G114.2-Blue1	Thay nắp anten (xanh)	74H02345-03M	Nắp anten 8S (xanh)	HTC BHQT	
HTC	HTC-PM59100	HTC-G114.2-Blue1	Thay nắp anten (xanh)	74H02345-03M	Nắp anten 8S (xanh)	REFURBISH	
HTC	HTC-PM59100	HTC-G114.2-Blue1	Thay nắp anten (xanh)	74H02345-03M	Nắp anten 8S (xanh)	YES	
HTC	HTC-PM59100	HTC-G114.2-Yellow1	Thay nắp anten (vàng)	74H02345-04M	Nắp anten 8S (vàng)	BH DV	
HTC	HTC-PM59100	HTC-G114.2-Yellow1	Thay nắp anten (vàng)	74H02345-04M	Nắp anten 8S (vàng)	NO	
HTC	HTC-PM59100	HTC-G114.2-Yellow1	Thay nắp anten (vàng)	74H02345-04M	Nắp anten 8S (vàng)	HTC BHQT	
HTC	HTC-PM59100	HTC-G114.2-Yellow1	Thay nắp anten (vàng)	74H02345-04M	Nắp anten 8S (vàng)	REFURBISH	
HTC	HTC-PM59100	HTC-G114.2-Yellow1	Thay nắp anten (vàng)	74H02345-04M	Nắp anten 8S (vàng)	YES	
HTC	HTC-PM59100	HTC-C112-Red	Thay nắp lưng (đỏ)	74H02346-01M	Vỏ ngoài 8S (đỏ)	BH DV	
HTC	HTC-PM59100	HTC-C112-Red	Thay nắp lưng (đỏ)	74H02346-01M	Vỏ ngoài 8S (đỏ)	NO	
HTC	HTC-PM59100	HTC-C112-Red	Thay nắp lưng (đỏ)	74H02346-01M	Vỏ ngoài 8S (đỏ)	HTC BHQT	
HTC	HTC-PM59100	HTC-C112-Red	Thay nắp lưng (đỏ)	74H02346-01M	Vỏ ngoài 8S (đỏ)	REFURBISH	
HTC	HTC-PM59100	HTC-C112-Red	Thay nắp lưng (đỏ)	74H02346-01M	Vỏ ngoài 8S (đỏ)	YES	
HTC	HTC-PM59100	HTC-C112-Blue	Thay nắp lưng (xanh)	74H02346-02M	Vỏ ngoài 8S (xanh)	YES	
HTC	HTC-PM59100	HTC-C112-Black	Thay nắp lưng (đen)	74H02346-03M	Vỏ ngoài 8S (đen)	BH DV	
HTC	HTC-PM59100	HTC-C112-Black	Thay nắp lưng (đen)	74H02346-03M	Vỏ ngoài 8S (đen)	NO	
HTC	HTC-PM59100	HTC-C112-Black	Thay nắp lưng (đen)	74H02346-03M	Vỏ ngoài 8S (đen)	REFURBISH	
HTC	HTC-PM59100	HTC-C112-Black	Thay nắp lưng (đen)	74H02346-03M	Vỏ ngoài 8S (đen)	YES	
HTC	HTC-PM59100	HTC-M002-JUSB	Thay jack USB/ Micro USB	75H00975-13M	Jack USB M7	BH DV	
HTC	HTC-PM59100	HTC-M002-JUSB	Thay jack USB/ Micro USB	75H00975-13M	Jack USB M7	NO	
HTC	HTC-PM59100	HTC-M002-JUSB	Thay jack USB/ Micro USB	75H00975-13M	Jack USB M7	YES	
HTC	HTC-PM59100	HTC-M002-TP	Thay socket cảm ứng	75H00987-00M	Đầu nối cảm ứng Desire S, Incredible S	BH DV	
HTC	HTC-PM59100	HTC-M002-TP	Thay socket cảm ứng	75H00987-00M	Đầu nối cảm ứng Desire S, Incredible S	NO	
HTC	HTC-PM59100	HTC-M002-TP	Thay socket cảm ứng	75H00987-00M	Đầu nối cảm ứng Desire S, Incredible S	HTC BHQT	
