Hãng điện thoại	Model	Model App	Mã Sửa Chữa	Sửa Chữa	Sửa Chữa App	Mã LK	Linh Kiện	Loại Bảo Hành	Tiền linh kiện	Tiền Công Sửa	Mức Sửa
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G110-BK	Thay cáp tín hiệu Micro-USB (đen)	Thay cáp USB	73H00418-24M	Cáp tín hiệu MicroUSB HTC (đen)	YES	120000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G110-WT	Thay cáp tín hiệu Micro-USB (trắng)	Thay cáp USB	73H00418-20M	Cáp tín hiệu MicroUSB HTC (trắng)	YES	120000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-C122-PWR	Thay cáp tín hiệu nút Power		73H20504-49M	Phím nguồn 8S	YES	49000	250000	M2.5
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G103	Thay chuông	Thay Chuông	36H01897-01M	Chuông Desire 200/500/C/S/SV/U/V/X, S510b, One X, Wildfire S	YES	80000	200000	M2
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M002-JEAR	Thay jack tai nghe		36H01885-02M	Giắc tai nghe 8S/ One V	YES	50000	250000	M2.5
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M002-JUSB	Thay jack USB/ Micro USB		75H00975-13M	Jack USB M7	YES	50000	450000	M4.5
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G103.1	Thay loa	Thay Loa	36H01904-00M	Loa 8X/S, Desire 200/300/500/501/C/L/SV, One SV/X+	YES	120000	150000	M1.5
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G103.1	Thay loa	Thay Loa	77H50001-00M	Miếng dán pin của 8S	YES	100000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Black	Thay màn hình có cảm ứng và mặt trước (đen)		66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	70000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Black	Thay màn hình có cảm ứng và mặt trước (đen)		80H01413-02	Màn hình có cảm ứng 8S (đen)	YES	1690000	250000	M2.5
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Red	Thay màn hình có cảm ứng và mặt trước (đỏ)		66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	70000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Red	Thay màn hình có cảm ứng và mặt trước (đỏ)		77H50001-00M	Miếng dán pin của 8S	YES	100000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-White	Thay màn hình có cảm ứng và mặt trước (trắng)		66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	70000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-White	Thay màn hình có cảm ứng và mặt trước (trắng)		77H50001-00M	Miếng dán pin của 8S	YES	100000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-White	Thay màn hình có cảm ứng và mặt trước (trắng)		80H01413-02	Màn hình có cảm ứng 8S (đen)	YES	1690000	250000	M2.5
